Train set,Test set,Classifier,MCC,F1 (Macro),F1 (Weighted),AUROC
CIC18,CIC18 (Val),LR,83.96%,89.67%,91.40%,98.70%
CIC18,CIC18 (Val),RF,88.06%,91.92%,93.60%,99.51%
CIC18,CIC18 (Val),ET,84.76%,90.51%,91.75%,98.84%
CIC18,CIC18 (Val),XGB,89.02%,92.77%,94.12%,99.56%
CIC18,CIC18 (Val),LGBM,89.35%,93.04%,94.30%,99.59%
CIC18,CIC18 (Val),MLP,87.96%,91.98%,93.55%,99.46%
CIC18,CIC17 (Test),LR,49.56%,48.65%,66.47%,82.55%
CIC18,CIC17 (Test),RF,61.17%,44.12%,70.81%,86.90%
CIC18,CIC17 (Test),ET,63.58%,45.07%,72.34%,87.88%
CIC18,CIC17 (Test),XGB,50.13%,44.60%,67.57%,78.43%
CIC18,CIC17 (Test),LGBM,11.47%,23.04%,47.03%,66.86%
CIC18,CIC17 (Test),MLP,56.33%,45.63%,70.39%,81.12%
CIC18,LycoS18,LR,-4.77%,17.99%,36.75%,N/A
CIC18,LycoS18,RF,95.86%,92.82%,97.87%,N/A
CIC18,LycoS18,ET,75.46%,79.69%,85.87%,N/A
CIC18,LycoS18,XGB,73.42%,70.25%,85.98%,N/A
CIC18,LycoS18,LGBM,87.98%,83.16%,94.00%,N/A
CIC18,LycoS18,MLP,12.48%,40.27%,38.54%,N/A
