Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,BENIGN,0.8828445747800586,0.6765168539325843,0.766030534351145,8900.0
Logistic Regression,Bot,0.8479142234880215,0.920787395844704,0.8828495674016188,27483.0
Logistic Regression,DDoS,0.9711854237716306,0.9668956411022211,0.9690357848967728,63617.0
Logistic Regression,PortScan,0.0,0.0,0.0,1.0
Logistic Regression,macro avg,0.6754860555099277,0.6410499727198774,0.6544789716623841,100001.0
Logistic Regression,weighted avg,0.9294351698857376,0.9283707162928371,0.9272724867191515,100001.0
Random Forest,BENIGN,0.8858338990721882,0.8796629213483146,0.8827376254369151,8900.0
Random Forest,Bot,0.8870690248434382,0.9380344212786086,0.9118401273322133,27483.0
Random Forest,DDoS,0.9882447665056361,0.9646792524010878,0.9763198294582276,63617.0
Random Forest,PortScan,1.0,1.0,1.0,1.0
Random Forest,macro avg,0.9402869226053157,0.9455941487570028,0.942724395556839,100001.0
Random Forest,weighted avg,0.9513245569774677,0.9497905020949791,0.9502705540594976,100001.0
Extra Trees,BENIGN,0.8929224340558892,0.768314606741573,0.8259451624592342,8900.0
Extra Trees,Bot,0.8486186502471036,0.7622530291452898,0.803120627192394,27483.0
Extra Trees,DDoS,0.9061737883737085,0.9637203892041436,0.9340615811204046,63617.0
Extra Trees,PortScan,0.0,0.0,0.0,1.0
Extra Trees,macro avg,0.6619287181691753,0.6235720062727516,0.6407818426930082,100001.0
Extra Trees,weighted avg,0.8891676475516123,0.8909510904890952,0.8884438330531949,100001.0
XGBoost,BENIGN,0.95574178342281,0.8201123595505618,0.8827477777105884,8900.0
XGBoost,Bot,0.873395161556487,0.9628861478004584,0.9159599875393721,27483.0
XGBoost,DDoS,0.9888341067285383,0.9646949714698901,0.9766153993045886,63617.0
XGBoost,PortScan,1.0,1.0,1.0,1.0
XGBoost,macro avg,0.9544927629269588,0.9369233697052276,0.9438307911386373,100001.0
XGBoost,weighted avg,0.9541632630200634,0.9513304866951331,0.9515917382499056,100001.0
LightGBM,BENIGN,0.8837407272285054,0.8165168539325842,0.8487998598376453,8900.0
LightGBM,Bot,0.861137962067931,0.9400356584070152,0.8988588128870643,27483.0
LightGBM,DDoS,0.9865140525838622,0.9578414574720594,0.9719663436615225,63617.0
LightGBM,PortScan,0.0,0.0,0.0,1.0
LightGBM,macro avg,0.6828481854700746,0.6785984924529147,0.679906254096558,100001.0
LightGBM,weighted avg,0.9429006866638755,0.940360596394036,0.9409029748887042,100001.0
MLP (PyTorch),BENIGN,0.8934529828109201,0.7942696629213483,0.8409469426600048,8900.0
MLP (PyTorch),Bot,0.8668237670425855,0.9369064512607794,0.9005036021542981,27483.0
MLP (PyTorch),DDoS,0.9854610156450372,0.9663611927629407,0.9758176522408553,63617.0
MLP (PyTorch),PortScan,0.0,0.0,0.0,1.0
MLP (PyTorch),macro avg,0.6864344413746357,0.6743843267362671,0.6793170492637896,100001.0
MLP (PyTorch),weighted avg,0.9446577791115978,0.942940570594294,0.9431061676411947,100001.0
